term_ja,variants,term_en,meaning_en,price_effect,risk_flag
未開封,新品未開封|未開封品|シュリンク付き|brand new|brand-new|nib|new in box,sealed / unopened,Factory sealed. Highest collector grade for figures and kuji prizes.,none,
開封済,開封済み|開封のみ|開封品|opened|box opened,opened,Box was opened; item typically displayed or inspected. Usually still complete.,minor_down,
箱なし,箱無し|外箱なし|本体のみ|no box|without box|box not included,no box,Original packaging missing. Fine for display; lowers resale value noticeably.,major_down,
箱潰れ,箱に傷|箱ダメージ|箱イタミ,box damage,Packaging dented or scuffed; item itself usually unaffected.,minor_down,
難あり,難有り|訳あり|ワケあり,flawed / with defects,Seller declares a defect. Ask what exactly is wrong before buying.,major_down,Ask seller for photos of the defect
ジャンク,ジャンク品,junk / as-is,Sold without guarantee of function or completeness. Parts may be missing.,major_down,No returns expected; assume incomplete
中古,中古品|USED,used,Generic secondhand label. Says nothing about grade by itself.,none,
当時物,当時品,vintage original,Original release from the period rather than a re-release. Can raise value for older lines.,up,
再販,再販品|再版,re-release,A later production run. Usually cheaper than original run; check which run the listing is.,minor_down,
プライズ,プライズ品|クレーンゲーム景品,prize figure,Arcade/crane-game item. Lower MSRP tier than scale figures; not a defect.,none,
正規品,正規|公式,official / licensed,Seller asserts authenticity. Not proof by itself.,none,Verify maker name and packaging text
海外製,海外版|海外正規品,overseas-made,May be a legitimate regional release or a bootleg. Needs verification.,none,Check maker and JAN against catalog
ノーブランド,ノーブランド品,unbranded,No manufacturer stated. Strong bootleg indicator for character goods.,major_down,High bootleg risk
セット,まとめ売り|まとめ|セット売り,bundle / lot,Multiple items sold together. Resolve each item separately if possible.,none,
バラ売り不可,バラ不可,no splitting,Bundle only; cannot buy a single item from the lot.,none,
箱のみ,箱only|外箱のみ,box only,Only the original packaging is offered; the figure or prize itself is not included. Value is limited to display or storage use.,major_down,Confirm the actual item is NOT included
内袋未開封,内袋未開封品|インナー袋未開封,inner bag sealed,Outer box may be opened but the inner poly bag protecting the piece is still sealed. Near-mint condition for loose or blind-packed items.,none,
タグ付き,下げ札付き|タグ付|ネームタグ付き,with tag,Original hang tag or fabric tag is still attached. Common quality marker for plush and apparel; missing tags can lower value.,none,
初回限定版,初回限定|初回版|初回封入特典付き,first-run limited edition,The original production run, often bundled with a first-print bonus. Later reprints usually lack this bonus even if the main item is identical.,up,
特典付き,予約特典付き|購入特典付き|特典あり,with bonus,Includes a store or preorder bonus item that is not part of the base product. Ask exactly which bonus is included and whether it is store-exclusive.,up,Ask seller exactly which bonus is included
サントラ帯付き,帯付き|帯あり|OBI付き,with obi strip,Japanese CD/media obi (the promotional paper strip around the case) is present and intact. Collectors value complete-obi condition highly.,up,
美品,美品|状態良好|mint|near mint|mint condition,seller-described good condition,Seller's subjective claim of good condition; not a standardized grade. Ask for photos to confirm.,none,Subjective claim; verify with photos
台座付属,台座あり|台座付,stand included,The display stand or base that ships with the figure is included. Some secondhand listings separate the stand from the figure.,none,Confirm stand is the original one for this SKU
動作確認済み,動作確認済|通電確認済み,function tested,Seller states an electronic or mechanical item (light-up parts, clocks, etc.) was tested and works.,none,
